생년월일,성별,등급,차 종,구매한 제품,구매 날짜,금액,거래 방식,구매 횟수,구매 경로,주소,나이,연령대,구매 시즌,고객 등급 점수,브랜드,차급,최근 구매 고객,누적 구매 금액,평균 구매 금액,구매 요일,지역 카테고리,고객 충성도 지수,할부 여부,마지막 구매 이후 기간,구매 주기,구매 요일 카테고리,고객 평생 가치
2002-03-04,남,일반,준중형 세단,Avante (CN7 N),2024-04-04,35170000,1,1,0,인천광역시 남동구 구월동,23,20대 이하,봄,2,현대,소형,True,35170000,58025294,3,인천광역시,0.022,0,11.433,0.0,평일,779060
1983-01-02,남,vip,준대형 세단,G80 (RG3),2025-02-10,85790000,1,5,0,광주광역시 서구 치평동,42,36~50세,겨울,3,제네시스,중형,True,85790000,60506667,0,광주광역시,0.27,1,1.033,0.0,평일,23177651
1999-05-02,여,신규,중형 suv,NEXO (FE),2025-03-10,69500000,2,1,0,부산광역시 해운대구 우동,26,26~35세,봄,1,기아,SUV,True,69500000,56399524,0,부산광역시,0.044,1,0.1,0.0,평일,3042256
1960-07-01,남,일반, 중형 suv,Santa-Fe ™,2023-05-01,34920000,3,1,0,전라남도 목포시 부주동,65,51~65세,봄,2,현대,,True,34920000,60148462,0,전라남도,0.022,0,22.733,0.0,평일,768024
1970-03-02,남,이탈가능,중형 세단,G70 (IK),2023-10-01,50230000,1,1,0,경기도 수원시 영통구 원천동,55,51~65세,가을,0,제네시스,중형,True,50230000,61066154,6,경기도,0.032,1,17.633,0.0,주말,1589104
1959-08-03,남,일반,중형 세단,G70 (IK),2023-02-01,50230000,1,1,0,울산광역시 남구 달동,66,66세 이상,겨울,2,제네시스,중형,True,50230000,60935000,2,울산광역시,0.032,1,25.7,0.0,평일,1589104
1998-01-02,여,일반,준중형 해치백,IONIQ (AE EV),2023-07-18,44400000,1,1,1,경기도 수원시 영통구 원천동,27,26~35세,여름,2,기타,,True,94630000,61066154,1,경기도,0.06,1,20.133,-2.5,평일,5640061
1976-01-06,남,신규,준중형 세단,Avante (CN7 HEV),2025-12-01,27830000,1,1,0,서울특별시 종로구 청운동,49,36~50세,겨울,1,현대,소형,True,27830000,56644400,0,서울특별시,0.018,0,-8.767,0.0,평일,487812
1980-04-06,남,일반,준중형 해치백,IONIQ (AE EV),2023-01-03,44400000,1,1,0,인천광역시 남동구 구월동,45,36~50세,겨울,2,기타,,True,79570000,58025294,1,인천광역시,0.05,1,26.667,-15.23,평일,3987721
1977-08-05,여,신규, 중형 세단,IONIQ 6 (CE),2024-04-06,61820000,1,1,0,서울특별시 종로구 청운동,48,36~50세,봄,1,기타,,True,89650000,56644400,5,서울특별시,0.056,1,11.367,-20.13,주말,5062053
