생년월일,성별,등급,차 종,구매한 제품,구매 날짜,금액,거래 방식,구매 횟수,구매 경로,주소
2002-03-04,남,일반,준중형 세단,Avante (CN7 N),2024-04-04,"35,170,000",신용카드,1,오프라인,인천광역시 남동구 구월동
1983-01-02,남,vip,준대형 세단,G80 (RG3),2025-02-10,"85,790,000",신용카드,5,오프라인,광주광역시 서구 치평동
1999-05-02,여,신규,중형 suv,NEXO (FE),2025-03-10,"69,500,000",계좌이체,1,오프라인,부산광역시 해운대구 우동
1960-07-01,남,일반, 중형 suv,Santa-Fe ™,2023-05-01,"34,920,000",현금,1,오프라인,전라남도 목포시 부주동
1970-03-02,남,이탈가능,중형 세단,G70 (IK),2023-10-01,"50,230,000",신용카드,1,오프라인,경기도 수원시 영통구 원천동
1959-08-03,남,일반,중형 세단,G70 (IK),2023-02-01,"50,230,000",신용카드,1,오프라인,울산광역시 남구 달동
1998-01-02,여,일반,준중형 해치백,IONIQ (AE EV),2023-07-18,"44,400,000",신용카드,1,온라인,경기도 수원시 영통구 원천동
1976-01-06,남,신규,준중형 세단,Avante (CN7 HEV),2025-12-01,"27,830,000",신용카드,1,오프라인,서울특별시 종로구 청운동
1980-04-06,남,일반,준중형 해치백,IONIQ (AE EV),2023-01-03,"44,400,000",신용카드,1,오프라인,인천광역시 남동구 구월동
1977-08-05,여,신규, 중형 세단,IONIQ 6 (CE),2024-04-06,"61,820,000",신용카드,1,오프라인,서울특별시 종로구 청운동
1990-11-24,여,vip,대형 세단,G90 (HI),2024-12-03,"99,670,000",계좌이체,5,오프라인,경상남도 창원시 의창구 봉곡동
1988-05-07,여,일반, 중형 suv,Santa-Fe (MX5 PHEV),2023-07-07,"45,980,000",현금,2,오프라인,전라북도 전주시 완산구 덕진동
1997-08-05,남,일반,준중형 세단,Avante (CN7 N),2025-01-02,"35,170,000",계좌이체,1,오프라인,충청북도 청주시 상당구 낙실동
1996-01-02,여,일반, 중형 suv,Santa-Fe ™,2024-02-03,"34,920,000",계좌이체,2,오프라인,광주광역시 서구 치평동
1980-02-04,남,일반,준중형 세단,Avante (CN7 N),2023-08-07,"35,170,000",신용카드,3,오프라인,경기도 성남시 분당구 정자동
1985-01-07,남,일반,준대형 세단,Grandeur (GN7 HEV),2024-05-06,"52,410,000",신용카드,1,오프라인,울산광역시 남구 달동
